product_url,product_name,brand_name,rating,number_of_ratings,product_description,release_date,top_notes,middle_notes,base_notes,notes,main_accords,perfumer,product_images,gender,longevity,sillage,scraped_at,source
https://www.fragrantica.com/perfume/Louis-Vuitton/Ink-Mark-115407.html,Ink Mark Louis Vuittonfor women and men,Louis Vuitton,4.33,241,"Ink MarkbyLouis Vuittonis a Oriental Woody fragrance for women and men. This is a new fragrance.Ink Markwas launched in 2025. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Sandalwood, Amber and Incense.Ink Mark by Louis Vuitton is a unisex fragrance introduced for 2025 as part of the Journey to China collection. The scent comes in the house’s signature flacon rendered in a milk white lacquer with a plum-colored cap. Official note details and concentration have not been disclosed; the collection is planned to launch on October 17, 2025.",2025,N/A,N/A,N/A,"Sandalwood, Amber, Incense","woody, powdery, warm spicy, aromatic",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.115407.jpg,for women and men,N/A,N/A,2026-06-09 09:54:25,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Moon-Tale-115408.html,Moon Tale Louis Vuittonfor women and men,Louis Vuitton,4.5,254,"Moon TalebyLouis Vuittonis a fragrance for women and men. This is a new fragrance.Moon Talewas launched in 2025. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Peony, Raspberry, Jasmine Sambac, Magnolia and Rose Geranium.Moon Tale by Louis Vuitton is a unisex fragrance announced as part of the Journey to China collection. It is presented in the house’s signature bottle, finished in cyan blue lacquer with a bright orange cap. Official note details and concentration have not been disclosed; the collection is planned to launch on October 17, 2025.",2025,N/A,N/A,N/A,"Peony, Raspberry, Jasmine Sambac, Magnolia, Rose Geranium","floral, fruity, white floral, fresh",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.115408.jpg,for women and men,N/A,N/A,2026-06-09 09:54:37,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Rain-Tea-115406.html,Rain Tea Louis Vuittonfor women and men,Louis Vuitton,4.43,316,"Rain TeabyLouis Vuittonis a fragrance for women and men. This is a new fragrance.Rain Teawas launched in 2025. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Tea, Lemongrass, Rose, Magnolia and Woody Notes.Rain Tea by Louis Vuitton is a unisex fragrance announced as part of the Journey to China collection. It is presented in a pastel mint green lacquered bottle with a salmon pink cap. Official note details and concentration have not been disclosed; the collection is planned to launch on October 17, 2025.",2025,N/A,N/A,N/A,"Tea, Lemongrass, Rose, Magnolia, Woody Notes","citrus, fresh spicy, green, fresh",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.115406.jpg,for women and men,N/A,N/A,2026-06-09 09:54:46,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Cosmic-Cloud-68355.html,Cosmic Cloud Louis Vuittonfor women and men,Louis Vuitton,3.7,338,"Cosmic CloudbyLouis Vuittonis a Chypre Fruity fragrance for women and men.Cosmic Cloudwas launched in 2021. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Musk, Black Currant, Bergamot and Patchouli.",2021,N/A,N/A,N/A,"Musk, Black Currant, Bergamot, Patchouli","musky, powdery, fruity, animalic",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.68355.jpg,for women and men,N/A,N/A,2026-06-09 09:54:57,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Dancing-Blossom-68358.html,Dancing Blossom Louis Vuittonfor women and men,Louis Vuitton,4.03,284,"Dancing BlossombyLouis Vuittonis a Floral fragrance for women and men.Dancing Blossomwas launched in 2021. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features May Rose, Jasmine Sambac, Tuberose and Osmanthus.",2021,N/A,N/A,N/A,"May Rose, Jasmine Sambac, Tuberose, Osmanthus","white floral, rose, floral, tuberose",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.68358.jpg,for women and men,N/A,N/A,2026-06-09 09:55:05,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Fantasmagory-116625.html,Fantasmagory Louis Vuittonfor women and men,Louis Vuitton,4.2,470,"FantasmagorybyLouis Vuittonis a Oriental Vanilla fragrance for women and men. This is a new fragrance.Fantasmagorywas launched in 2025. The nose behind this fragrance is Jacques Cavallier Belletrud. Top notes are Anise and Ginger; middle notes are Almond and Floral Notes; base notes are Vanilla and Leather.Fantasmagory by Louis Vuitton is a unisex Eau de Parfum released in 2025 as part of the brand’s Les Extraits Collection. Created by Jacques Cavallier Belletrud, the composition focuses on vanilla, opening with ginger and moving through a soft gourmand heart of almond reminding of amaretto and diffuse floral nuances, settling into a base of vanilla with a subtle leather facet. The fragrance is presented in a sculptural bottle by architect Frank Gehry, with clear glass and a polished metal cap.",2025,"Anise, Ginger","Almond, Floral Notes","Vanilla, Leather",N/A,"vanilla, almond, nutty, sweet",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.116625.jpg,for women and men,N/A,N/A,2026-06-09 09:55:14,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Myriad-85363.html,Myriad Louis Vuittonfor women and men,Louis Vuitton,3.84,660,"MyriadbyLouis Vuittonis a Oriental Woody fragrance for women and men.Myriadwas launched in 2023. The nose behind this fragrance is Jacques Cavallier Belletrud. Top note is Saffron; middle notes are Bulgarian Rose and Grasse Rose; base notes are Assam Oud, Ambrette, Cacao and White Musk.",2023,Saffron,"Bulgarian Rose, Grasse Rose","Assam Oud, Ambrette, Cacao, White Musk",N/A,"oud, rose, warm spicy, metallic",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.85363.jpg,for women and men,N/A,N/A,2026-06-09 09:55:24,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Rhapsody-68359.html,Rhapsody Louis Vuittonfor women and men,Louis Vuitton,4.05,450,"RhapsodybyLouis Vuittonis a Chypre Floral fragrance for women and men.Rhapsodywas launched in 2021. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Oakmoss, Mate, Lily-of-the-Valley, Jasmine, Rose, Patchouli and Vetiver.",2021,N/A,N/A,N/A,"Oakmoss, Mate, Lily-of-the-Valley, Jasmine, Rose, Patchouli, Vetiver","mossy, earthy, aromatic, fresh spicy",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.68359.jpg,for women and men,N/A,N/A,2026-06-09 09:55:34,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Stellar-Times-68356.html,Stellar Times Louis Vuittonfor women and men,Louis Vuitton,4.42,1096,"Stellar TimesbyLouis Vuittonis a Oriental Floral fragrance for women and men.Stellar Timeswas launched in 2021. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Orange Blossom, Amber and Woody Notes.",2021,N/A,N/A,N/A,"Orange Blossom, Amber, Woody Notes","white floral, amber, woody, citrus",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.68356.jpg,for women and men,N/A,N/A,2026-06-09 09:55:43,Fragrantica
https://www.fragrantica.com/perfume/Louis-Vuitton/Symphony-68357.html,Symphony Louis Vuittonfor women and men,Louis Vuitton,4.48,2600,"SymphonybyLouis Vuittonis a Citrus fragrance for women and men.Symphonywas launched in 2021. The nose behind this fragrance is Jacques Cavallier Belletrud. The fragrance features Grapefruit, Bergamot and Ginger.",2021,N/A,N/A,N/A,"Grapefruit, Bergamot, Ginger","citrus, fresh spicy, aromatic, floral",Jacques Cavallier Belletrud,https://fimgs.net/mdimg/perfume-thumbs/375x500.68357.jpg,for women and men,N/A,N/A,2026-06-09 09:55:50,Fragrantica
